date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:28:12	237/237	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2001%20Nov%202020%2019:28:13%20GMT	http://paul-themes.com/robots.txt		(from )
20:28:14	67708/67708	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Nov%202020%2019:28:14%20GMT	http://paul-themes.com/wordpress/ramsay/	C:/My%20Web%20Sites/johnson%20portfoloi/paul-themes.com/wordpress/ramsay/index.html	(from )
20:28:16	109922/109922	---M-Z	200	added ('OK')	text/css	etag:%221ad62-5a239a0b225fb-gzip%22	http://paul-themes.com/wordpress/ramsay/wp-content/uploads/elementor/css/custom-frontend.min.css?ver=1585743276	C:/My%20Web%20Sites/johnson%20portfoloi/paul-themes.com/wordpress/ramsay/wp-content/uploads/elementor/css/custom-frontend.min642d.css	(from http://paul-themes.com/wordpress/ramsay/)
20:28:17	518008/518008	---MCZ	200	added ('OK')	text/css	etag:W/%227e906-5a7c98e49e193-gzip%22	http://paul-themes.com/wordpress/ramsay/wp-content/cache/autoptimize/css/autoptimize_9aefc8f35fab31ab40bbcdda07c33ea6.css	C:/My%20Web%20Sites/johnson%20portfoloi/paul-themes.com/wordpress/ramsay/wp-content/cache/autoptimize/css/autoptimize_9aefc8f35fab31ab40bbcdda07c33ea6.css	(from http://paul-themes.com/wordpress/ramsay/)
20:28:17	2998/2998	---M-Z	200	added ('OK')	application/rss+xml	etag:%228a9609f2125d7a98425addac175cdb2e-gzip%22	http://paul-themes.com/wordpress/ramsay/comments/feed/	C:/My%20Web%20Sites/johnson%20portfoloi/paul-themes.com/wordpress/ramsay/comments/feed/index.html	(from http://paul-themes.com/wordpress/ramsay/)
20:28:18	7811/7811	---M-Z	200	added ('OK')	application/rss+xml	etag:%22af72528874c750b64ffbdec0f26c7f03-gzip%22	http://paul-themes.com/wordpress/ramsay/feed/	C:/My%20Web%20Sites/johnson%20portfoloi/paul-themes.com/wordpress/ramsay/feed/index.html	(from http://paul-themes.com/wordpress/ramsay/)
20:28:18	51/51	---MCZ	200	added ('OK')	text/css	etag:W/%2233-59cbba9f3a1cc%22	http://paul-themes.com/wordpress/ramsay/wp-content/cache/autoptimize/css/autoptimize_single_2c9d3714466bde97fad170c4afe67a52.css?ver=1585743276	C:/My%20Web%20Sites/johnson%20portfoloi/paul-themes.com/wordpress/ramsay/wp-content/cache/autoptimize/css/autoptimize_single_2c9d3714466bde97fad170c4afe67a52642d.css	(from http://paul-themes.com/wordpress/ramsay/)
20:28:18	96866/96866	---MCZ	200	added ('OK')	application/javascript	etag:W/%2217a69-59a7713174bbc-gzip%22	http://paul-themes.com/wordpress/ramsay/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/My%20Web%20Sites/johnson%20portfoloi/paul-themes.com/wordpress/ramsay/wp-includes/js/jquery/jquery4a5f.js	(from http://paul-themes.com/wordpress/ramsay/)
20:28:20	900/900	---M-Z	200	added ('OK')	text/xml	date:Sun,%2001%20Nov%202020%2019:28:20%20GMT	http://paul-themes.com/wordpress/ramsay/xmlrpc.php?rsd	C:/My%20Web%20Sites/johnson%20portfoloi/paul-themes.com/wordpress/ramsay/xmlrpc0db0.php	(from http://paul-themes.com/wordpress/ramsay/)
20:28:20	85042/85042	---MCZ	200	added ('OK')	application/json	date:Sun,%2001%20Nov%202020%2019:28:21%20GMT	http://paul-themes.com/wordpress/ramsay/wp-json/	C:/My%20Web%20Sites/johnson%20portfoloi/paul-themes.com/wordpress/ramsay/wp-json/index.html	(from http://paul-themes.com/wordpress/ramsay/)
20:28:20	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-59a77054890b6-gzip%22	http://paul-themes.com/wordpress/ramsay/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/johnson%20portfoloi/paul-themes.com/wordpress/ramsay/wp-includes/wlwmanifest.xml	(from http://paul-themes.com/wordpress/ramsay/)
20:28:22	2249/2249	---MCZ	200	added ('OK')	application/json	date:Sun,%2001%20Nov%202020%2019:28:23%20GMT	http://paul-themes.com/wordpress/ramsay/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpaul-themes.com%2Fwordpress%2Framsay%2F	C:/My%20Web%20Sites/johnson%20portfoloi/paul-themes.com/wordpress/ramsay/wp-json/oembed/1.0/embed07ce.json	(from http://paul-themes.com/wordpress/ramsay/)
20:28:23	2340/2340	---M-Z	200	added ('OK')	text/xml	date:Sun,%2001%20Nov%202020%2019:28:24%20GMT	http://paul-themes.com/wordpress/ramsay/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpaul-themes.com%2Fwordpress%2Framsay%2F&format=xml	C:/My%20Web%20Sites/johnson%20portfoloi/paul-themes.com/wordpress/ramsay/wp-json/oembed/1.0/embeda53a	(from http://paul-themes.com/wordpress/ramsay/)
20:28:24	801/801	---M--	200	added ('OK')	image/png	etag:%22321-59b92a4a2cd3d%22	http://paul-themes.com/wordpress/ramsay/wp-content/uploads/2019/12/cropped-favicon-1-32x32.png	C:/My%20Web%20Sites/johnson%20portfoloi/paul-themes.com/wordpress/ramsay/wp-content/uploads/2019/12/cropped-favicon-1-32x32.png	(from http://paul-themes.com/wordpress/ramsay/)
20:28:24	6495/6495	---M--	200	added ('OK')	image/png	etag:%22195f-59b92a4a240a2%22	http://paul-themes.com/wordpress/ramsay/wp-content/uploads/2019/12/cropped-favicon-1-192x192.png	C:/My%20Web%20Sites/johnson%20portfoloi/paul-themes.com/wordpress/ramsay/wp-content/uploads/2019/12/cropped-favicon-1-192x192.png	(from http://paul-themes.com/wordpress/ramsay/)
20:28:25	10581/10581	---M--	200	added ('OK')	image/png	etag:%222955-59b92a4a29e5f%22	http://paul-themes.com/wordpress/ramsay/wp-content/uploads/2019/12/cropped-favicon-1-180x180.png	C:/My%20Web%20Sites/johnson%20portfoloi/paul-themes.com/wordpress/ramsay/wp-content/uploads/2019/12/cropped-favicon-1-180x180.png	(from http://paul-themes.com/wordpress/ramsay/)
20:28:25	7790/7790	---M--	200	added ('OK')	image/png	etag:%221e6e-59b9232fca894%22	http://paul-themes.com/wordpress/ramsay/wp-content/uploads/2020/01/logo.png	C:/My%20Web%20Sites/johnson%20portfoloi/paul-themes.com/wordpress/ramsay/wp-content/uploads/2020/01/logo.png	(from http://paul-themes.com/wordpress/ramsay/)
20:28:34	47526/47526	---M--	200	added ('OK')	image/jpeg	etag:%22b9a6-59a89632451d7%22	http://paul-themes.com/wordpress/ramsay/wp-content/uploads/2019/12/attachment-06.jpg	C:/My%20Web%20Sites/johnson%20portfoloi/paul-themes.com/wordpress/ramsay/wp-content/uploads/2019/12/attachment-06.jpg	(from http://paul-themes.com/wordpress/ramsay/)
20:28:42	47312/47312	---M--	200	added ('OK')	image/jpeg	etag:%22b8d0-59a89632c2191%22	http://paul-themes.com/wordpress/ramsay/wp-content/uploads/2019/12/attachment-07.jpg	C:/My%20Web%20Sites/johnson%20portfoloi/paul-themes.com/wordpress/ramsay/wp-content/uploads/2019/12/attachment-07.jpg	(from http://paul-themes.com/wordpress/ramsay/)
